"severity","issueId","issueDescription","wcagConformance","url","context","howToFix","learnMore"
"mustFix","aria-hidden-focus","ARIA hidden element must not be focusable or contain focusable elements","wcag412","https://www.uvmhealth.org/","<button type=""button"" class=""btn btn-default gdpr-alert__close"" data-dismiss=""alert"" aria-hidden=""true"">Close</button>","Fix all of the following:   Focusable content should be disabled or be removed from the DOM","https://dequeuniversity.com/rules/axe/4.8/aria-hidden-focus?application=purple-hats"
"mustFix","aria-hidden-focus","ARIA hidden element must not be focusable or contain focusable elements","wcag412","https://www.uvmhealth.org/about-uvm-health-network","<button type=""button"" class=""btn btn-default gdpr-alert__close"" data-dismiss=""alert"" aria-hidden=""true"">Close</button>","Fix all of the following:   Focusable content should be disabled or be removed from the DOM","https://dequeuniversity.com/rules/axe/4.8/aria-hidden-focus?application=purple-hats"
"mustFix","aria-hidden-focus","ARIA hidden element must not be focusable or contain focusable elements","wcag412","https://www.uvmhealth.org/careers","<li role=""group"" id=""slide2"" class=""next slide"" aria-label=""slide 2 of 5"" aria-hidden=""true"">","Fix all of the following:   Focusable content should have tabindex=""-1"" or be removed from the DOM","https://dequeuniversity.com/rules/axe/4.8/aria-hidden-focus?application=purple-hats"
"mustFix","aria-hidden-focus","ARIA hidden element must not be focusable or contain focusable elements","wcag412","https://www.uvmhealth.org/careers","<li role=""group"" id=""slide5"" class=""prev slide"" aria-label=""slide 5 of 5"" aria-hidden=""true"">","Fix all of the following:   Focusable content should have tabindex=""-1"" or be removed from the DOM","https://dequeuniversity.com/rules/axe/4.8/aria-hidden-focus?application=purple-hats"
"mustFix","aria-hidden-focus","ARIA hidden element must not be focusable or contain focusable elements","wcag412","https://www.uvmhealth.org/doctors","<button type=""button"" class=""btn btn-default gdpr-alert__close"" data-dismiss=""alert"" aria-hidden=""true"">Close</button>","Fix all of the following:   Focusable content should be disabled or be removed from the DOM","https://dequeuniversity.com/rules/axe/4.8/aria-hidden-focus?application=purple-hats"
"mustFix","aria-hidden-focus","ARIA hidden element must not be focusable or contain focusable elements","wcag412","https://www.uvmhealth.org/for-medical-professionals","<button type=""button"" class=""btn btn-default gdpr-alert__close"" data-dismiss=""alert"" aria-hidden=""true"">Close</button>","Fix all of the following:   Focusable content should be disabled or be removed from the DOM","https://dequeuniversity.com/rules/axe/4.8/aria-hidden-focus?application=purple-hats"
"mustFix","aria-hidden-focus","ARIA hidden element must not be focusable or contain focusable elements","wcag412","https://www.uvmhealth.org/for-network-employees","<button type=""button"" class=""btn btn-default gdpr-alert__close"" data-dismiss=""alert"" aria-hidden=""true"">Close</button>","Fix all of the following:   Focusable content should be disabled or be removed from the DOM","https://dequeuniversity.com/rules/axe/4.8/aria-hidden-focus?application=purple-hats"
"mustFix","aria-hidden-focus","ARIA hidden element must not be focusable or contain focusable elements","wcag412","https://www.uvmhealth.org/health-wellness","<button type=""button"" class=""btn btn-default gdpr-alert__close"" data-dismiss=""alert"" aria-hidden=""true"">Close</button>","Fix all of the following:   Focusable content should be disabled or be removed from the DOM","https://dequeuniversity.com/rules/axe/4.8/aria-hidden-focus?application=purple-hats"
"mustFix","aria-hidden-focus","ARIA hidden element must not be focusable or contain focusable elements","wcag412","https://www.uvmhealth.org/health-wellness/flu-prevention","<button type=""button"" class=""btn btn-default gdpr-alert__close"" data-dismiss=""alert"" aria-hidden=""true"">Close</button>","Fix all of the following:   Focusable content should be disabled or be removed from the DOM","https://dequeuniversity.com/rules/axe/4.8/aria-hidden-focus?application=purple-hats"
"mustFix","aria-hidden-focus","ARIA hidden element must not be focusable or contain focusable elements","wcag412","https://www.uvmhealth.org/medcenter","<button type=""button"" class=""btn btn-default gdpr-alert__close"" data-dismiss=""alert"" aria-hidden=""true"">Close</button>","Fix all of the following:   Focusable content should be disabled or be removed from the DOM","https://dequeuniversity.com/rules/axe/4.8/aria-hidden-focus?application=purple-hats"
"mustFix","aria-hidden-focus","ARIA hidden element must not be focusable or contain focusable elements","wcag412","https://www.uvmhealth.org/medcenter","<li data-gtm-menu-title=""Find a Doctor"" class=""find-a-doctor nav_parent index-8 last fad accessible-megamenu-top-nav-item"" aria-hidden=""true"">","Fix all of the following:   Focusable content should have tabindex=""-1"" or be removed from the DOM","https://dequeuniversity.com/rules/axe/4.8/aria-hidden-focus?application=purple-hats"
"mustFix","aria-hidden-focus","ARIA hidden element must not be focusable or contain focusable elements","wcag412","https://www.uvmhealth.org/medcenter/clinical-trials-and-research","<button type=""button"" class=""btn btn-default gdpr-alert__close"" data-dismiss=""alert"" aria-hidden=""true"">Close</button>","Fix all of the following:   Focusable content should be disabled or be removed from the DOM","https://dequeuniversity.com/rules/axe/4.8/aria-hidden-focus?application=purple-hats"
"mustFix","aria-hidden-focus","ARIA hidden element must not be focusable or contain focusable elements","wcag412","https://www.uvmhealth.org/medcenter/clinical-trials-and-research","<li data-gtm-menu-title=""Find a Doctor"" class=""find-a-doctor nav_parent index-8 last fad accessible-megamenu-top-nav-item"" aria-hidden=""true"">","Fix all of the following:   Focusable content should have tabindex=""-1"" or be removed from the DOM","https://dequeuniversity.com/rules/axe/4.8/aria-hidden-focus?application=purple-hats"
